these tiktoks radiate gay chaotic energy and i love it;Non_hope_speech;
@Champions Again He got killed for using false money;Non_hope_speech;
It's not that all lives don't matter;Non_hope_speech;
Is it really that difficult to understand? Black lives matter and all lives matter are not mutually exclusive. They are both true as general statements. So are white lives matter and asian lives matter. Black lives matter in this context is simply the name of a movement against the strangely high rate of police violence on black people and the statement is referring to those who behave like and treat black people as if they dont matter. For example;Non_hope_speech;
Whenever we say black isn't that racists?  Why don't just say Americans.;Non_hope_speech;
Ros The Boss u don’t know that she’s actually lgbtq tho so....;Non_hope_speech;
That was funny at the end when Larry said 'What are we arguing about then'. haha but that said;Non_hope_speech;
She saves lives with her music.;Non_hope_speech;
There were a lot of Samoans in my Army unit;Non_hope_speech;
Network Engineer here- 23 and currently working as an instructor teaching men and women looking to be in IT =] Next I want to teach at a University!;Hope_speech;
There is justice for the natives the government literally pays us;Non_hope_speech;
she’s in the closet.;Non_hope_speech;
Injustice is the way the world works. A millionaire paying someone a few dollars to wash his car is injustice;Non_hope_speech;
@Trey Gray The Prime Minister of Holland;Non_hope_speech;
Madonna wouldn't be here if her mother had her attitude .;Non_hope_speech;
@Tea Just Tea all lives are equal is the same thing as all lives matter;Non_hope_speech;
the tech industry is tough for everyone.  Most people are pushed hard and treated like garbage;Non_hope_speech;
Why does BLM only come around every 4 years;Non_hope_speech;
Funny thing is;Non_hope_speech;
I'm still hiding my gender to my parents and they don't know I'm dating someone. My friends knows already about my gender and they are very supportive of it. And I'm very thankful to find true friends like them;Hope_speech;
all lives matter .without that we never have peace so to me forever all lives matter.;Hope_speech;
Clark thank you. I salute you.;Non_hope_speech;
@J Brown It makes it seem like my opinion doesn't matter when someone gets attacked for holding a All Lives Matter sign.;Non_hope_speech;
Yall talking lesbian but I think it more likely that's she'll come out as trans;Non_hope_speech;
France France I think you’re the one being dumb.  It’s actually very simple. Did you not know all lives include black lives? If you have a basic understanding of the English language you should understand that.;Non_hope_speech;
@Fa1con i love how people like you read a comment that goes against your agenda and spat instantly zero evidence when all you need to do is type we are trained marxists blm and boom there you go;Non_hope_speech;
Randomgirlwhosings0804 Why does she feel the need to have to agree or not agree with someone’s sexuality? Why does any Christian? it’s really weird. there is nothing for you to “agree” with;Hope_speech;
